Company,Stage,Position,Location,Date of Application,Posting URL,Notes,Rapporterat,First Response,Second Response,Third Response
SJR,Rejected,AML-analytiker,"Hybrid, Stockholm","August 15, 2023",https://www.linkedin.com/jobs/view/3693882804,,No,,,
Trygg-Hansa,Rejected,Data Analyst,"Hybrid, Stockholm","August 15, 2023",https://trygghansa.teamtailor.com/jobs/2973100-data-analyst-till-commercial-lines,,No,,,
Orbis,Applied,Data Analyst,Stockholm,"August 15, 2023",https://www.linkedin.com/jobs/view/3679120862,,No,,,
Parallel Consulting,Applied,Data Scientist,"Hybrid, Växjö","August 15, 2023",https://www.linkedin.com/jobs/view/3669326340,,No,,,
Zaver,Applied,Credit Analyst,Stockholm,"September 25, 2023",https://www.linkedin.com/jobs/view/3701732435,,No,,,
Swedbank,Rejected,Data Scientist,Stockholm,"September 25, 2023",https://jobs.swedbank.com/jobs/16011-data-scientist-or-senior-data-scientist-in-anti-financial-crime?utm_source=LinkedIn,,No,,,
Accigo,Applied,Data Engineer,Stockholm,"September 25, 2023",https://www.linkedin.com/jobs/view/3492689734,,No,,,
Dun & Bradstreet,Applied,Junior Data Scientist,"Hybrid, Stockholm","September 25, 2023",https://jobs.lever.co/dnb/2b990d76-6295-433d-801c-e64b4996101c?lever-source=LinkedIn&lever-origin=applied&source=6,,No,,,
Zaver,Applied,Kreditanalytiker,Stockholm,"September 25, 2023",https://www.linkedin.com/jobs/view/3717738236,,No,,,
SJR,Rejected,AML-analytiker,Stockholm,"September 25, 2023",https://jobb.sjr.se/jobs/3104572-aml-analytiker-till-expansiv-bank,,No,,,
FRA,Applied,Analytiker - Cyberhot,Stockholm,"September 25, 2023",https://fra.easycruit.com/vacancy/3230307/58086,,No,,,
PwC,Rejected,Junior Data Scientist,Stockholm,"September 25, 2023",https://pwc.wd3.myworkdayjobs.com/en-US/Global_Campus_Careers/job/Junior-Data-Scientist_472419WD,,No,,,
Trygg Hansa,Applied,Data Analyst,Stockholm,"September 25, 2023",https://trygghansa.teamtailor.com/jobs/3163600-data-analyst,,Yes,,,
Twistshake,Applied,Junior AI Research,Stockholm,"September 25, 2023",https://careers.twistshake.com/jobs/3183990-junior-ai-research?promotion=776789-linkedin-premium-job-posting,,Yes,,,
Tendium,Applied,Junior Analyst,Stockholm,"September 25, 2023",https://careers.tendium.ai/jobs/3051198-junior-analyst-full-time,,Yes,,,
Solita,Rejected,Data Engineer,Stockholm,"September 26, 2023",https://www.solita.fi/positions/data-engineers-till-stockholm-5472904003/?_gl=1*1fr992d*_up*MQ..&gclid=CjwKCAjwgsqoBhBNEiwAwe5w0_VkYWniD6GU1Lsz5sKbkbdgcGdhHF6snsxaaIMdk4JrKTi8Gnlx7RoCfZ0QAvD_BwE,,Yes,,,
Text Blaze,Applied,Data Scientist,Remote,"September 27, 2023",https://www.ycombinator.com/companies/text-blaze/jobs/Oz2r7pX-growth-engineer-to-pioneer-llm-driven-growth-strategies?utm_source=syn_li,,Yes,,,
Emagine,Applied,Data Scientist,Stockholm,"September 27, 2023",https://emagine-consulting.se/consultants/freelance-jobs/data-scientist/?id=155471,,Yes,,,
B3 Visab Consulting AB,Rejected,Business Analyst,Stockholm,"September 27, 2023",https://bli.b3.se/jobs/1089936-business-analyst-till-b3-visab-consulting,,Yes,,,
Acceleration Nordic,Applied,Data Scientist,Stockholm,"September 27, 2023",https://jobs.jobvite.com/careers/acceleration-emea/job/oGNLifwg?__jvst=Job%20Board&__jvsd=LinkedIn,,Yes,,,
Voi,Rejected,Machine Learning Engineer,"Hybrid, Stockholm","September 27, 2023",https://careers.voi.com/jobs/3140266-machine-learning-engineer,,Yes,,,
Voi,Applied,Data Engineer,"Hybrid, Stockholm","September 27, 2023",https://careers.voi.com/jobs/3108544-data-platform-engineer,,Yes,,,
Trustly,Rejected,Data Engineer,Stockholm,"September 27, 2023",https://jobs.lever.co/trustly/ae1326b0-916b-479f-a843-79ffe408a9e9?source=6,,Yes,,,
,Not started,,,,,,No,,,
Quest Consulting,Applied,Junior Data Scientist,"Hybrid, Stockholm","November 20, 2023",https://www.linkedin.com/jobs/view/3766177528,,No,,,
Dynamx,Applied,Data Scientist,Stockholm,"November 20, 2023",https://dynamx.teamtailor.com/jobs/3368884-data-scientist,,No,,,
,Not started,,,,,,No,,,
